date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-05-15,231.95,232.44,225.25,229.32,7296000,46.39,46.488,45.05,45.864,36480000,0.0,1.0
2019-05-16,228.33,231.0,226.5,229.49,7483300,45.666,46.2,45.3,45.898,37416500,0.0,1.0
2019-05-17,211.03,222.24,208.92,221.96,17786700,42.206,44.448,41.784,44.392,88933500,0.0,1.0
2019-05-20,205.36,206.0,195.25,202.8,20526200,41.072,41.2,39.05,40.56,102631000,0.0,1.0
2019-05-21,205.08,207.4,196.04,197.76,18003900,41.016,41.48,39.208,39.552,90019500,0.0,1.0
2019-05-22,192.73,203.94,191.78,199.1,18685200,38.546,40.788,38.356,39.82,93426000,0.0,1.0
2019-05-23,195.49,199.47,186.22,194.34,26547100,39.098,39.894,37.244,38.868,132735500,0.0,1.0
2019-05-24,190.63,199.98,188.75,199.83,14136600,38.126,39.996,37.75,39.966,70683000,0.0,1.0
2019-05-28,188.7,195.0,187.85,191.2,10312900,37.74,39.0,37.57,38.24,51564500,0.0,1.0
2019-05-29,189.86,192.39,185.04,187.1,11955100,37.972,38.478,37.008,37.42,59775500,0.0,1.0
2019-05-30,188.22,192.26,187.02,188.75,7926500,37.644,38.452,37.404,37.75,39632500,0.0,1.0
2019-05-31,185.16,189.92,184.1,185.1,10406700,37.032,37.984,36.82,37.02,52033500,0.0,1.0
2019-06-03,178.97,186.68,176.99,185.51,13050900,35.794,37.336,35.398,37.102,65254500,0.0,1.0
2019-06-04,193.6,193.98,179.61,181.1,13807500,38.72,38.796,35.922,36.22,69037500,0.0,1.0
2019-06-05,196.59,201.28,191.85,198.68,13510800,39.318,40.256,38.37,39.736,67554000,0.0,1.0
2019-06-06,205.95,211.0,201.8,204.44,20242200,41.19,42.2,40.36,40.888,101211000,0.0,1.0
2019-06-07,204.5,210.8438,203.499,205.0,16003527,40.9,42.16876,40.6998,41.0,80017635,0.0,1.0
2019-06-10,212.88,216.94,209.01,210.25,10585000,42.576,43.388,41.802,42.05,52925000,0.0,1.0
2019-06-11,217.1,220.9,213.5,219.14,11653500,43.42,44.18,42.7,43.828,58267500,0.0,1.0
2019-06-12,209.26,223.38,209.0,222.95,15197500,41.852,44.676,41.8,44.59,75987500,0.0,1.0
2019-06-13,213.91,214.9,207.51,210.38,8168300,42.782,42.98,41.502,42.076,40841500,0.0,1.0
2019-06-14,214.92,216.65,210.4,211.25,7433400,42.984,43.33,42.08,42.25,37167000,0.0,1.0
2019-06-17,225.03,227.0,214.27,215.48,12316800,45.006,45.4,42.854,43.096,61584000,0.0,1.0
2019-06-18,224.74,234.74,222.56,228.72,12668900,44.948,46.948,44.512,45.744,63344500,0.0,1.0
2019-06-19,226.43,227.77,221.06,225.11,6575135,45.286,45.554,44.212,45.022,32875675,0.0,1.0
2019-06-20,219.62,226.9,216.35,223.0,11863500,43.924,45.38,43.27,44.6,59317500,0.0,1.0
2019-06-21,221.86,222.18,215.5,216.22,8202100,44.372,44.436,43.1,43.244,41010500,0.0,1.0
2019-06-24,223.64,225.86,221.02,223.24,5750800,44.728,45.172,44.204,44.648,28754000,0.0,1.0
2019-06-25,219.76,225.34,219.49,224.39,6182100,43.952,45.068,43.898,44.878,30910500,0.0,1.0
2019-06-26,219.27,227.23,218.1,220.31,8507200,43.854,45.446,43.62,44.062,42536000,0.0,1.0
2019-06-27,222.84,222.9,217.35,219.45,6339700,44.568,44.58,43.47,43.89,31698500,0.0,1.0
2019-06-28,223.46,225.17,220.8,220.99,6851400,44.692,45.034,44.16,44.198,34257000,0.0,1.0
2019-07-01,227.17,233.1,226.28,230.21,8238000,45.434,46.62,45.256,46.042,41190000,0.0,1.0
2019-07-02,224.55,229.15,222.22,228.89,9259000,44.91,45.83,44.444,45.778,46295000,0.0,1.0
2019-07-03,234.9,241.57,234.51,239.39,14201100,46.98,48.314,46.902,47.878,71005500,0.0,1.0
2019-07-05,233.1,235.45,230.8,234.57,7065700,46.62,47.09,46.16,46.914,35328500,0.0,1.0
2019-07-08,230.34,232.25,228.66,231.24,5880500,46.068,46.45,45.732,46.248,29402500,0.0,1.0
2019-07-09,230.06,231.0,227.28,228.97,6190800,46.012,46.2,45.456,45.794,30954000,0.0,1.0
2019-07-10,238.92,238.94,233.14,234.15,9145700,47.784,47.788,46.628,46.83,45728500,0.0,1.0
2019-07-11,238.6,241.5,235.8,238.14,7514400,47.72,48.3,47.16,47.628,37572000,0.0,1.0
2019-07-12,245.08,245.38,239.71,239.75,9200500,49.016,49.076,47.942,47.95,46002500,0.0,1.0
2019-07-15,253.5,254.42,244.86,248.0,11000100,50.7,50.884,48.972,49.6,55000500,0.0,1.0
2019-07-16,252.38,253.53,247.93,249.3,8149000,50.476,50.706,49.586,49.86,40745000,0.0,1.0
2019-07-17,254.86,258.31,253.35,255.67,9764700,50.972,51.662,50.67,51.134,48823500,0.0,1.0
2019-07-18,253.54,255.75,251.89,255.05,4764500,50.708,51.15,50.378,51.01,23822500,0.0,1.0
2019-07-19,258.18,259.96,254.62,255.69,7048400,51.636,51.992,50.924,51.138,35242000,0.0,1.0
2019-07-22,255.68,262.15,254.19,258.75,6842400,51.136,52.43,50.838,51.75,34212000,0.0,1.0
2019-07-23,260.17,260.48,254.5,256.71,5023100,52.034,52.096,50.9,51.342,25115500,0.0,1.0
2019-07-24,264.88,266.07,258.16,259.17,11072800,52.976,53.214,51.632,51.834,55364000,0.0,1.0
2019-07-25,228.82,234.5,225.55,233.5,22418300,45.764,46.9,45.11,46.7,112091500,0.0,1.0
2019-07-26,228.04,230.26,222.25,226.92,10027700,45.608,46.052,44.45,45.384,50138500,0.0,1.0
2019-07-29,235.77,235.94,226.03,227.09,9273300,47.154,47.188,45.206,45.418,46366500,0.0,1.0
2019-07-30,242.26,243.36,232.18,232.9,8109000,48.452,48.672,46.436,46.58,40545000,0.0,1.0
2019-07-31,241.61,246.68,236.65,243.0,9178200,48.322,49.336,47.33,48.6,45891000,0.0,1.0
2019-08-01,233.85,244.51,231.77,242.65,8259500,46.77,48.902,46.354,48.53,41297500,0.0,1.0
2019-08-02,234.34,236.27,229.23,231.35,6136500,46.868,47.254,45.846,46.27,30682500,0.0,1.0
2019-08-05,228.32,231.37,225.78,229.6,7028300,45.664,46.274,45.156,45.92,35141500,0.0,1.0
2019-08-06,230.75,232.5,225.75,231.88,5564200,46.15,46.5,45.15,46.376,27821000,0.0,1.0
2019-08-07,233.42,233.57,225.8,226.5,4776500,46.684,46.714,45.16,45.3,23882500,0.0,1.0
